RA,DEC,AKR_ID,HSC_ID,Gm,Gme,Rm,Rme,Im,Ime,Zm,Zme,Ym,Yme,N2m,N2me,N3m,N3me,N4m,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,sum_y,y_pred
272.9927673,67.0113907,135054,80097772816073831,20.933000000000003,0.001,20.788,0.001,20.61,0.004,20.654,0.006999999999999999,20.694000000000006,0.01,20.605,0.093,20.163,0.066,19.762,0.048,19.093,0.103,18.632,0.098,,,,,17.452,0.062,17.367,0.102,21,1
272.5953674,67.0425644,74728,80097914549978367,21.19,0.001,20.564,0.001,20.005,0.002,19.73,0.003,19.441,0.004,18.521,0.03,18.408,0.025,18.182,0.023,,,,,,,,,,,,,21,1
272.4833984,67.17304990000001,129233,80097914550002864,22.055,0.001,21.722,0.002,21.478,0.003,21.432,0.006999999999999999,21.342,0.01,20.097,0.099,20.172,0.078,19.53,0.06,,,,,,,,,,,,,21,1
272.28836060000003,67.1861877,45273,80097914550004984,23.579,0.006,23.113000000000003,0.011,22.344,0.009000000000000001,21.857,0.013,21.847,0.017,20.491,0.104,19.994,0.057,19.652,0.049,,,18.142,0.129,,,16.704,0.047,16.422,0.051,,,21,1
271.3440552,66.9764252,102879,80098185132943616,24.059,0.006999999999999999,22.803,0.005,21.851,0.005,21.412,0.006999999999999999,21.108,0.01,19.891,0.064,19.665,0.049,19.448,0.047,,,,,,,,,,,,,13,1
271.5670776,67.05233,41791,80098189427885265,20.864,0.001,21.095,0.001,20.572,0.001,20.535,0.003,20.547,0.004,20.171,0.081,19.939,0.068,19.546,0.051,19.027,0.1,17.971,0.083,,,18.107,0.131,16.658,0.067,,,21,1
271.27709960000004,67.0264969,130223,80098189427885276,21.17,0.001,21.301,0.001,20.827,0.002,20.774,0.003,20.606,0.004,19.961,0.067,19.566,0.045,19.309,0.036000000000000004,,,,,,,18.256,0.107,,,,,21,1
271.39889530000005,67.08989720000001,97680,80098189427886844,25.254,0.028,23.87,0.018000000000000002,22.789,0.015,22.388,0.025,22.072,0.026,20.653,0.134,20.648000000000003,0.12,20.314,0.08199999999999999,,,,,,,,,,,,,11,1
272.53018189999995,67.22457890000001,80486,80097918844947589,25.134,0.027000000000000003,23.175,0.016,22.432,0.012,21.887,0.016,21.363000000000003,0.019,19.845,0.08800000000000001,19.529,0.058,19.374,0.062,,,,,,,,,,,,,12,1
271.1278687,67.11507420000001,130212,80098326866847127,23.072,0.003,22.5,0.005,21.867,0.006,21.709,0.01,21.544,0.013,19.519,0.08,19.398,0.059,19.22,0.057,,,,,,,17.119,0.071,,,,,21,1
271.8658142,67.07947539999999,99432,80098051988942358,22.753,0.003,22.298,0.004,21.798,0.006999999999999999,21.277,0.009000000000000001,21.122,0.013,20.423,0.107,20.096,0.079,20.145,0.09,,,,,,,,,,,,,14,1
272.0079956,67.1460495,134483,80098051988944419,20.145,0.001,19.755,0.001,19.691,0.001,19.648,0.001,19.598,0.002,19.229,0.044,19.232,0.038,19.185,0.035,18.545,0.08199999999999999,17.926,0.08,18.142,0.08199999999999999,17.932000000000006,0.118,18.431,0.091,17.265,0.12,21,1
271.97610469999995,67.1194458,45067,80098051988947270,24.522,0.015,23.475,0.012,22.409,0.01,21.835,0.016,21.58,0.018000000000000002,20.241,0.104,20.033,0.077,19.613,0.064,,,,,,,17.087,0.079,16.155,0.047,,,16,1
272.0050354,67.1536713,134481,80098051988949713,22.04,0.001,21.447,0.002,21.392,0.003,21.092,0.005,20.935,0.006,19.131,0.055,18.736,0.037000000000000005,18.686,0.032,18.544,0.115,18.026,0.104,18.351,0.123,17.338,0.066,17.252,0.054000000000000006,16.903,0.095,21,1
271.702179,67.213768,116326,80098051988957840,21.594,0.001,21.396,0.001,21.217,0.002,21.037,0.004,20.812,0.005,19.539,0.055,19.134,0.033,18.898,0.028,18.653,0.08,17.817999999999994,0.095,,,,,,,,,21,1
271.14074710000006,67.48903659999999,102629,80098198017833297,21.8,0.001,21.458,0.002,21.359,0.002,21.336,0.006,21.305,0.006999999999999999,20.009,0.075,19.687,0.051,19.216,0.05,,,,,,,,,,,,,21,1
271.3257141,67.5102615,123947,80098198017835351,22.398000000000003,0.003,21.688,0.003,21.09,0.004,20.902,0.008,20.718000000000004,0.011,20.333,0.106,20.204,0.093,19.705,0.078,,,,,,,,,,,,,21,1
272.8868713,67.3414307,119378,80097781405994521,22.766,0.004,22.175,0.005,21.699,0.009000000000000001,21.134,0.011,20.901,0.012,19.641,0.085,19.587,0.048,19.493,0.059,,,,,,,,,,,,,21,1
